Order_ID,Date,Customer,Product,Category,Region,Salesperson,Quantity,Unit_Price,Discount_Percent,Revenue,Payment_Method
1050,2026-01-01,Customer_022,Desk,Furniture,South,Anjali,5,10000,0,50000.0,Debit Card
1094,2026-01-04,Customer_027,Headphones,Electronics,West,Arun,9,2500,5,21375.0,Cash
1027,2026-01-06,Customer_038,Mouse,Electronics,South,Vikram,2,800,5,1520.0,Credit Card
1003,2026-01-07,Customer_036,Mouse,Electronics,South,Anjali,9,800,15,6120.0,Net Banking
1070,2026-01-07,Customer_003,Mouse,Electronics,South,Sneha,4,800,0,3200.0,Net Banking
1017,2026-01-17,Customer_025,Keyboard,Electronics,West,Vikram,7,1200,15,7140.0,Cash
1013,2026-01-17,Customer_014,Office Chair,Furniture,East,Priya,7,7500,5,49875.0,Cash
1007,2026-01-21,Customer_036,Pen Set,Stationery,East,Anjali,2,120,10,216.0,Net Banking
1016,2026-01-24,Customer_049,Keyboard,Electronics,North,Arun,9,1200,10,9720.0,Credit Card
1092,2026-01-27,Customer_045,Headphones,Electronics,East,Anjali,10,2500,0,25000.0,Net Banking
1060,2026-01-28,Customer_039,Backpack,Accessories,West,Rahul,5,1800,0,9000.0,Debit Card
1061,2026-01-30,Customer_025,Desk,Furniture,South,Rahul,10,10000,15,85000.0,UPI
1024,2026-02-02,Customer_043,Headphones,Electronics,West,Vikram,9,2500,0,22500.0,Credit Card
1045,2026-02-03,Customer_023,Mouse,Electronics,North,Priya,9,800,5,6840.0,Debit Card
1043,2026-02-03,Customer_043,Mouse,Electronics,East,Sneha,5,800,10,3600.0,Debit Card
1085,2026-02-04,Customer_030,Laptop,Electronics,South,Arun,2,55000,10,99000.0,Debit Card
1033,2026-02-05,Customer_028,Mouse,Electronics,South,Rahul,9,800,10,6480.0,Cash
1072,2026-02-07,Customer_042,Notebook,Stationery,North,Arun,7,150,0,1050.0,Cash
1048,2026-02-09,Customer_018,Headphones,Electronics,East,Vikram,2,2500,15,4250.0,Credit Card
1035,2026-02-12,Customer_027,Laptop,Electronics,West,Sneha,2,55000,0,110000.0,Credit Card
1055,2026-02-15,Customer_048,Keyboard,Electronics,East,Sneha,7,1200,0,8400.0,Credit Card
1005,2026-02-25,Customer_049,Office Chair,Furniture,East,Arun,5,7500,0,37500.0,UPI
